,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_total_listings_count,host_verifications,host_identity_verified,neighbourhood,property_type,room_type,bedrooms,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,price,price_avg,price_std,beds,accommodates,reviews_per_month,availability_60,availability_90,availability_365,revenue,booking_rate,bathrooms_text,price_per_person,accom_per_bed,price_surge_percent,price_std_percent
25,"Antwerp, Belgium",within a few hours,100.0,33.0,f,host neighbourhood not available,7,"['email', 'phone', 'work_email']",t,"Antwerp, Flanders, Belgium",Private room in bed and breakfast,Private room,4.0,1,1125,t,18,56,1,0,4.74,4.76,4.89,4.93,4.91,4.43,4.69,f,500.0,500.0,0.0,6.0,10.0,0.49,38,57,227,310.958904109589,62.19178082191781,4.5 baths,50.0,1.6666666666666667,0.0,0.0
26,"Antwerp, Belgium",within a day,75.0,18.0,f,host neighbourhood not available,2,"['email', 'phone', 'work_email']",t,"Antwerp, Flanders, Belgium",Entire rental unit,Entire home/apt,2.0,5,1125,t,0,35,1,0,4.83,4.91,4.82,4.97,4.94,4.62,4.97,f,65.0,65.0,0.0,2.0,4.0,0.31,0,0,181,32.23287671232877,49.589041095890416,1 bath,16.25,2.0,0.0,0.0
27,"Antwerp, Belgium",within a few hours,100.0,85.0,t,host neighbourhood not available,1,"['email', 'phone', 'work_email']",t,"Antwerp, Flanders, Belgium",Entire loft,Entire home/apt,1.0,2,60,t,7,241,26,0,4.96,4.94,4.98,4.98,4.96,4.92,4.92,f,116.47945205479452,116.47945205479452,2.2853426237049046,1.0,2.0,2.19,10,27,196,62.47945205479452,53.6986301369863,1 bath,58.23972602739726,2.0,0.0,1.9620135426373988
28,"Antwerp, Belgium",within an hour,100.0,65.0,f,host neighbourhood not available,2,"['email', 'phone', 'work_email']",t,"Antwerpen, Vlaanderen, Belgium",Entire townhouse,Entire home/apt,1.0,4,1125,t,25,21,0,0,4.62,4.81,4.71,4.85,4.9,4.9,4.65,f,120.0,120.0,0.0,1.0,2.0,0.29,55,85,360,118.35616438356165,98.63013698630137,1.5 baths,60.0,2.0,0.0,0.0
29,"Antwerp, Belgium",within an hour,100.0,95.0,f,host neighbourhood not available,2,"['email', 'phone']",t,neighbourhood not available,Entire rental unit,Entire home/apt,1.0,1,365,t,8,13,13,0,4.23,4.46,3.62,4.38,4.46,4.54,4.38,t,50.0,50.0,0.0,1.0,2.0,3.42,8,10,285,39.04109589041096,78.08219178082192,1.5 baths,25.0,2.0,0.0,0.0
30,"Antwerpen, Belgium",a few days or more,0.0,100.0,f,host neighbourhood not available,1,"['email', 'phone']",t,"Antwerp, Flanders, Belgium",Entire rental unit,Entire home/apt,1.0,45,1125,t,5,12,0,0,4.67,4.67,4.67,4.82,4.64,4.36,4.55,f,45.0,45.0,0.0,1.0,2.0,0.11,16,28,134,16.52054794520548,36.71232876712329,1 bath,22.5,2.0,0.0,0.0
31,"Antwerp, Belgium",within a few hours,88.0,56.0,f,host neighbourhood not available,1,"['email', 'phone']",t,neighbourhood not available,Private room in bed and breakfast,Private room,1.0,1,1125,t,29,21,6,0,4.33,4.62,4.38,4.81,4.81,4.71,4.43,f,80.0,80.0,0.0,1.0,2.0,0.25,59,89,364,79.78082191780823,99.72602739726028,1 bath,40.0,2.0,0.0,0.0
32,"Antwerpen, Belgium",within an hour,100.0,52.0,f,host neighbourhood not available,2,"['email', 'phone', 'work_email']",t,"Antwerp, Flanders, Belgium",Private room in loft,Private room,1.0,1,1125,t,12,47,9,1,4.54,4.47,4.74,4.56,4.67,4.78,4.51,f,56.0,56.0,0.0,1.0,2.0,0.43,42,72,72,11.046575342465754,19.726027397260275,2.5 shared baths,28.0,2.0,0.0,0.0
33,"Antwerp, Belgium",within an hour,100.0,98.0,t,host neighbourhood not available,1,"['email', 'phone']",t,"Antwerpen, Vlaams Gewest, Belgium",Entire condo,Entire home/apt,1.0,2,30,t,27,132,23,1,4.47,4.66,4.47,4.82,4.78,4.34,4.48,f,70.01095890410959,70.01095890410959,6.532664368257904,2.0,4.0,1.43,57,83,263,50.69315068493151,72.05479452054794,1 bath,17.502739726027396,2.0,0.0,9.330916860038094
34,"Zoersel, Belgium",within a few hours,100.0,0.0,f,host neighbourhood not available,1,"['email', 'phone', 'work_email']",t,neighbourhood not available,Private room in bed and breakfast,Private room,1.0,1,1125,t,26,0,0,0,4.657249488752556,4.733232271325797,4.655092497430628,4.79267214799589,4.81198869475848,4.753273381294964,4.650775950668037,f,180.12328767123287,180.12328767123287,15.020082897921188,1.0,2.0,1.745327198364008,56,86,361,177.986301369863,98.9041095890411,1.5 baths,90.06164383561644,2.0,0.0,8.338779006374985
